team,date,AB,RS,H,HR,TB,BB,SF
ANA,20020518,37,4,11,1,17,6,0
ANA,20020519,37,6,12,0,15,2,0
ANA,20020520,32,6,10,0,14,3,1
ANA,20020521,30,5,5,1,10,6,0
ANA,20020522,32,7,8,1,15,3,0
ANA,20020524,30,1,3,1,6,0,0
ANA,20020525,44,4,10,1,17,2,0
ANA,20020526,32,2,8,1,13,3,0
ANA,20020528,37,4,8,3,17,0,0
ANA,20020529,42,12,17,2,28,5,0
ANA,20020530,43,6,13,1,19,5,1
ANA,20020531,41,10,16,0,22,3,2
ANA,20020601,36,2,11,1,19,2,0
ANA,20020602,39,5,12,0,17,6,0
ANA,20020603,32,5,7,1,14,2,0
ANA,20020604,29,3,7,0,12,2,0
ANA,20020605,38,7,11,3,23,1,0
ANA,20020606,40,8,13,2,24,3,0
ANA,20020607,29,4,8,0,9,3,0
ANA,20020608,30,3,8,0,11,4,0
ANA,20020609,31,7,9,1,17,3,0
ANA,20020610,32,4,10,2,16,4,0
ANA,20020611,33,3,7,2,16,2,0
ANA,20020612,37,8,14,0,20,8,0
ANA,20020614,37,8,11,1,16,6,1
ANA,20020615,38,5,10,2,18,0,0
ANA,20020616,30,4,6,1,14,3,0
ANA,20020618,33,2,7,0,10,2,1
ANA,20020619,33,2,7,1,12,1,0
ANA,20020620,36,3,11,0,14,3,1
ANA,20020621,38,10,12,2,21,4,0
ANA,20020622,41,8,16,1,22,6,1
ANA,20020623,33,5,9,0,12,3,0
ANA,20020624,71,7,18,3,33,4,0
ANA,20020625,36,5,8,0,11,3,0
ANA,20020626,36,7,11,1,18,4,1
ANA,20020627,38,6,11,0,14,3,0
ANA,20020628,36,5,9,2,16,1,1
ANA,20020629,35,7,14,1,18,5,1
ANA,20020630,31,5,7,1,11,2,0
ANA,20020702,30,0,4,0,4,6,0
ANA,20020703,24,1,4,0,4,5,0
ANA,20020704,36,2,9,0,12,0,0
ANA,20020705,43,6,15,1,23,4,0
ANA,20020706,28,4,4,1,7,5,0
ANA,20020707,39,2,10,0,10,1,0
ANA,20020711,31,1,6,1,9,0,0
ANA,20020712,39,11,14,1,20,5,1
ANA,20020713,29,0,3,0,4,3,0
ANA,20020714,36,3,12,0,16,1,0
ANA,20020715,33,7,6,0,8,7,1
ANA,20020716,34,4,7,1,11,4,0
ANA,20020717,42,10,15,2,23,6,0
ANA,20020718,31,0,6,0,6,2,0
ANA,20020719,43,15,20,1,29,6,2
ANA,20020720,35,7,10,2,16,4,0
ANA,20020721,33,6,11,0,17,3,1
ANA,20020723,33,1,8,0,10,5,0
ANA,20020724,33,5,9,0,13,1,0
ANA,20020725,38,5,13,0,13,3,0
ANA,20020726,38,8,12,1,17,5,1
ANA,20020727,33,1,9,0,12,2,1
ANA,20020728,31,1,6,0,6,1,1
ANA,20020729,30,5,8,2,17,3,1
ANA,20020730,28,0,2,0,2,1,0
ANA,20020731,35,1,8,1,12,3,0
ANA,20020801,30,2,8,1,11,4,1
ANA,20020802,31,0,4,0,6,2,0
ANA,20020803,31,5,11,2,20,2,1
ANA,20020804,44,5,11,1,15,5,1
ANA,20020805,40,6,13,2,22,3,1
ANA,20020806,43,11,17,2,27,3,0
ANA,20020807,37,6,11,2,19,3,0
ANA,20020808,33,2,7,1,11,4,0
ANA,20020809,37,4,12,0,16,4,1
ANA,20020810,44,11,18,3,33,8,0
ANA,20020811,34,1,9,1,13,1,0
ANA,20020812,37,7,14,2,26,3,1
ANA,20020813,46,7,15,1,22,3,1
ANA,20020814,27,5,7,0,8,5,0
ANA,20020816,31,3,10,0,12,3,1
ANA,20020817,32,4,9,2,15,6,1
ANA,20020818,29,4,8,0,11,3,1
ANA,20020820,37,5,12,1,16,2,0
ANA,20020821,45,5,11,1,15,4,0
ANA,20020822,34,1,8,1,14,0,0
ANA,20020823,31,1,6,1,11,1,0
ANA,20020824,36,2,9,0,11,1,0
ANA,20020825,40,8,16,0,22,0,1
ANA,20020826,45,9,17,0,21,5,2
ANA,20020827,38,7,16,0,19,2,0
ANA,20020828,40,5,10,0,14,5,0
ANA,20020829,35,6,11,0,15,4,1
ANA,20020830,34,6,10,1,16,6,0
ANA,20020831,39,9,16,2,23,2,1
ANA,20020901,34,9,9,2,16,4,0
ANA,20020903,41,10,12,0,14,6,0
ANA,20020904,35,4,10,0,12,0,1
ANA,20020905,36,10,10,2,19,6,1
ANA,20020906,35,6,10,2,17,10,0
ANA,20020907,34,4,5,2,12,3,0
ANA,20020908,38,6,12,3,24,2,0
ANA,20020909,29,1,6,1,9,0,0
ANA,20020910,35,5,10,1,17,8,0
ANA,20020911,34,6,14,0,21,3,1
ANA,20020912,35,7,9,3,19,5,0
ANA,20020913,32,3,9,0,12,6,1
ANA,20020914,36,8,13,3,25,3,0
ANA,20020915,37,13,11,4,23,3,0
ANA,20020916,30,3,5,1,9,2,0
ANA,20020917,37,1,7,1,12,0,0
ANA,20020918,32,4,10,0,12,5,1
ANA,20020919,31,3,6,0,8,2,2
ANA,20020920,36,8,10,3,21,2,0
ANA,20020921,36,4,10,2,16,4,0
ANA,20020922,33,1,7,0,8,2,0
ANA,20020924,32,1,6,1,10,3,0
ANA,20020925,34,3,8,1,12,3,0
ANA,20020926,35,10,8,3,18,6,0
ANA,20020927,47,6,14,1,20,4,1
ANA,20020928,39,8,14,0,18,1,0
ANA,20020929,33,7,10,2,17,2,0
ANA,20030330,33,3,8,0,9,3,0
ANA,20030401,35,9,13,1,19,7,1
ANA,20030402,35,9,14,3,26,4,1
ANA,20030404,30,3,4,1,9,5,0
ANA,20030405,35,2,7,1,11,2,0
ANA,20030406,35,5,9,1,13,6,0
ANA,20030408,31,0,4,0,6,2,0
ANA,20030409,32,5,7,1,12,4,1
ANA,20030410,36,2,9,1,14,3,0
ANA,20030411,39,7,16,2,23,3,0
ANA,20030412,32,7,10,1,14,4,1
ANA,20030413,31,6,9,3,18,5,1
ANA,20030414,32,0,6,0,6,2,0
ANA,20030415,37,4,10,2,18,3,0
ANA,20030416,37,9,13,0,16,4,1
