retroID,Y,team,W,L,G,GS,IP,SO,BAA,ERA
hallr001,2008,TOR,20,11,34,33,738,206,0.237,2.78
hallr001,2009,TOR,17,10,32,32,717,208,0.256,2.79
hallr001,2010,PHI,21,10,33,33,752,219,0.245,2.44
hallr001,2011,PHI,19,6,32,32,701,220,0.239,2.35
hallr001,2012,PHI,11,8,25,25,469,132,0.261,4.49
hallr001,2013,PHI,4,5,13,13,186,51,0.23800000000000002,6.82
hampm001,2003,ATL,14,8,31,31,570,110,0.255,3.84
hampm001,2004,ATL,13,9,29,29,517,87,0.29,4.28
hampm001,2008,ATL,3,4,13,13,234,38,0.281,4.85
hampm001,2009,HOU,7,10,21,21,336,74,0.298,5.3
hardr001,2003,OAK,5,4,15,13,224,67,0.259,4.46
hardr001,2004,OAK,11,7,31,31,569,167,0.242,3.99
hardr001,2005,OAK,10,5,22,19,384,121,0.201,2.53
hardr001,2008,OAK,5,1,13,13,231,92,0.20600000000000002,2.34
hardr001,2009,CHN,9,9,26,26,423,171,0.23399999999999999,4.09
hardr001,2010,TEX,5,5,20,18,276,75,0.256,5.58
hardr001,2011,OAK,4,4,15,15,248,91,0.267,5.12
hared001,2003,SLN,3,7,14,14,218,43,0.293,5.08
hared001,2005,OAK,14,12,34,34,651,163,0.255,3.73
hared001,2006,OAK,14,13,34,34,669,176,0.258,4.12
hared001,2007,OAK,15,9,34,34,668,192,0.247,3.07
hared001,2008,ARI,16,8,33,33,648,206,0.247,3.33
hared001,2009,ARI,14,10,33,33,688,223,0.22399999999999998,3.14
hared001,2010,ARI,7,8,21,21,423,141,0.285,4.6
hared001,2010,ANA,5,4,14,14,282,75,0.237,2.87
hared001,2011,ANA,16,10,35,34,715,192,0.235,3.17
hared001,2012,ANA,12,13,30,30,530,142,0.275,4.33
hared001,2013,WAS,10,14,31,30,509,151,0.268,4.67
hared001,2014,LAN,13,11,32,32,558,145,0.252,4.02
hared001,2015,MIA,7,7,21,21,387,88,0.24100000000000002,3.42
haynj001,2003,CIN,2,12,18,18,283,49,0.311,6.3
heila001,2003,NYN,2,7,14,13,196,51,0.3,6.75
hellr001,2003,BAL,7,8,24,24,416,86,0.28600000000000003,5.71
hendm001,2003,TOR,9,9,30,30,475,76,0.317,5.51
hendm001,2004,TBA,10,15,32,30,550,87,0.285,4.81
hendm001,2005,TBA,11,8,31,31,535,89,0.311,5.9
hendm001,2006,TBA,4,8,13,13,269,51,0.24100000000000002,3.81
hendm001,2007,LAN,4,8,39,15,368,92,0.292,5.21
hendm001,2008,MIA,7,8,36,19,401,81,0.28300000000000003,5.45
hentp001,2003,BAL,7,8,28,22,482,100,0.247,4.09
hentp001,2004,TOR,2,9,18,16,241,33,0.28300000000000003,6.95
hernl003,2003,WAS,15,10,33,33,700,178,0.253,3.2
hernl003,2004,WAS,11,15,35,35,765,186,0.248,3.6
hernl003,2005,WAS,15,10,35,35,739,147,0.284,3.98
hernl003,2006,WAS,9,8,24,24,440,89,0.298,5.34
hernl003,2007,ARI,11,11,33,33,613,90,0.308,4.93
hernl003,2008,MIN,10,8,23,23,419,54,0.341,5.48
hernl003,2009,NYN,7,8,23,23,405,75,0.312,5.47
hernl003,2010,WAS,10,12,33,33,635,114,0.27,3.66
hernl003,2011,WAS,8,13,29,29,526,99,0.29100000000000004,4.47
hernr003,2003,KCA,7,5,16,16,275,48,0.249,4.61
hernr003,2005,KCA,8,14,29,29,479,88,0.27699999999999997,5.52
hernr003,2006,KCA,6,10,21,21,329,50,0.327,6.48
hudst001,2003,OAK,16,7,34,34,720,162,0.223,2.7
hudst001,2004,OAK,12,6,27,27,566,103,0.267,3.53
hudst001,2005,ATL,14,9,29,29,576,115,0.265,3.52
hudst001,2006,ATL,13,12,35,35,655,141,0.273,4.86
hudst001,2007,ATL,16,10,34,34,673,132,0.261,3.33
hudst001,2008,ATL,11,7,23,22,426,85,0.239,3.17
hudst001,2010,ATL,17,9,34,34,686,139,0.22899999999999998,2.83
hudst001,2011,ATL,16,10,33,33,645,158,0.23600000000000002,3.22
hudst001,2012,ATL,16,7,28,28,537,102,0.248,3.62
hudst001,2013,ATL,8,7,21,21,394,95,0.245,3.97
hudst001,2014,SFN,9,13,31,31,568,120,0.27,3.57
hudst001,2015,SFN,8,9,24,22,371,64,0.282,4.44
ishik001,2003,LAN,9,7,27,27,441,140,0.23800000000000002,3.86
ishik001,2004,LAN,13,8,31,31,516,99,0.24600000000000002,4.71
ishik001,2005,NYN,3,9,19,16,273,53,0.257,5.14
jarvk001,2003,SDN,4,8,16,16,276,49,0.304,5.87
jennj001,2003,COL,12,13,32,32,544,119,0.299,5.11
jennj001,2004,COL,11,12,33,33,603,133,0.299,5.51
jennj001,2005,COL,6,9,20,20,366,75,0.27399999999999997,5.02
jennj001,2006,COL,9,13,32,32,636,142,0.258,3.78
jennj001,2007,HOU,2,9,19,18,297,71,0.301,6.45
johnj007,2003,BAL,10,10,32,32,569,118,0.28300000000000003,4.18
johnj007,2004,DET,8,15,33,33,590,125,0.284,5.13
johnj007,2005,DET,8,13,33,33,630,93,0.285,4.54
johnj007,2006,CLE,3,8,14,14,231,32,0.341,5.96
johnr005,2003,ARI,6,8,18,18,342,125,0.28,4.26
