dt,ANA,ARI,ATL,BAL,BOS,CHA,CHN,CIN,CLE,COL,DET,HOU,KCA,LAN,MIA,MIL,MIN,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TBA,TEX,TOR,WAS
2005-05-25,1528.3367449813682,1514.9677962291444,1544.72984641711,1529.7933606425493,1522.8408725235663,1540.0839755243414,1503.0811188514588,1465.2977159948912,1483.7194872121645,1451.8194502885892,1474.8899146030978,1458.3128699898125,1431.0896806510195,1500.4342485022107,1544.407242277531,1494.3085672386628,1516.8227553887095,1522.467097071693,1500.1224070354974,1453.3923666615437,1498.8309771097222,1481.873867586631,1557.3481992080558,1475.1953857070964,1498.097954570762,1547.497928307089,1438.2434998802871,1527.146246296988,1506.2960523622016,1496.740047590566
2005-05-26,1522.2888907271981,1523.1074348776588,1549.5626845289307,1534.2966430748568,1515.629151726087,1546.1318297785115,1494.8410234669389,1473.3113606060826,1491.6165353327513,1446.7424986013364,1470.133097778083,1466.5529653743324,1427.855679004105,1493.6761172638276,1536.3185726943204,1499.3855189259157,1508.9257072681228,1527.2239138967077,1495.2895689236766,1445.9357495705672,1506.9196466929327,1477.7430880069605,1549.2085605595414,1470.692103274789,1504.8560858091453,1551.6287078867595,1445.7001169712637,1530.3802479439025,1513.507773159681,1488.7264029793746
2005-05-27,1529.6810966080723,1517.537480555783,1549.5626845289307,1538.492230941644,1508.9677114389203,1538.7396238976373,1486.3874664114062,1466.710487069049,1485.626385492292,1455.196055656869,1465.6934143780068,1466.5529653743324,1424.8174621344926,1500.748344151161,1528.3079645639004,1499.3855189259157,1514.915857108582,1531.663597296784,1503.3001770540966,1439.0521561909952,1506.9196466929327,1484.3439615439943,1554.778514881417,1466.4965154080016,1497.7838589218118,1551.6287078867595,1452.5837103508356,1533.418464813515,1520.1692134468476,1488.7264029793746
2005-05-28,1532.6527491893057,1510.3485014915668,1541.6100644970033,1529.5224377918018,1503.3421165804327,1532.0707409960694,1491.9200263275934,1474.1875795009937,1490.5403620190855,1449.6634957406818,1474.663207527849,1461.1455103305666,1421.8458095532592,1507.9373232153773,1520.8730837616217,1504.7929739696815,1521.600597018679,1537.2891921552716,1510.7350578563753,1434.1381796642017,1514.87226672486,1476.8668691120495,1559.330793540048,1459.1305120863005,1493.2315802631808,1555.8327520495286,1459.9497136725367,1540.0873477150828,1513.4844735367506,1484.5223588166054
2005-05-29,1535.4680927769593,1516.794375265355,1534.1761443853404,1521.0768947212694,1511.0347485415882,1532.0707409960694,1496.9982471442104,1467.5358685579856,1495.0986602617645,1444.5852749240648,1483.1087505983814,1469.4098943499196,1419.0304659656056,1501.491449441589,1513.9351548271795,1496.5285899503285,1527.856000651215,1529.5965601941161,1517.6729867908175,1429.5798814215227,1522.306186836523,1483.5185800550576,1563.5914944660262,1465.9562593187884,1488.9708793372026,1559.7605943810547,1453.123966440049,1540.0873477150828,1507.2290699042146,1480.5945164850793
2005-05-30,1538.143693078237,1509.6715600159018,1540.2141924467555,1513.1738932493954,1518.1841931510232,1525.9249178649184,1501.698287499645,1474.9448851066659,1499.322647711403,1439.8852345686303,1491.0117520702554,1477.1113274037639,1416.354865664328,1508.6142646910423,1520.6625634178824,1488.8271568964842,1520.5030586349164,1522.4471155846811,1510.9455782001146,1425.3558939718841,1516.268138775108,1476.1095635063773,1567.5838849193938,1472.2397569705295,1484.978488883835,1550.6144043382083,1446.8404687883078,1546.2331708462339,1514.5820119205132,1489.7407065279258
2005-05-31,1531.1780343690666,1509.6715600159018,1531.6043733708461,1519.8974864922538,1511.4605999081648,1532.8905765740888,1508.5769639538155,1481.7784613565984,1499.322647711403,1436.8793717588499,1491.0117520702554,1470.2777511538313,1416.354865664328,1501.7355882368718,1512.2219682557695,1485.160413154835,1520.5030586349164,1522.4471155846811,1510.9455782001146,1433.1855297934983,1516.268138775108,1484.5501586684902,1571.250628661043,1480.6130315636096,1484.978488883835,1553.6202671479887,1439.0108329666937,1546.2331708462339,1506.208737327433,1498.3505256038352
2005-06-01,1524.7813151891485,1516.2664509965928,1523.6761155903223,1513.0217122966199,1518.3363741037988,1539.287295754007,1514.9483611035728,1474.5274038110229,1506.6039557254157,1447.8619678973428,1486.432348413758,1477.528808699407,1427.1236859092412,1495.3641910871145,1504.4689109703504,1481.7215078144761,1513.2217506209038,1511.6782953397678,1504.3506872194237,1440.3444335569795,1521.672020816783,1492.3032159539093,1574.6895340014019,1474.8934224061813,1479.57460684216,1542.6376710094958,1431.8519292032124,1550.8125745027312,1511.9283464848613,1506.278783384359
2005-06-02,1531.744410957081,1509.1920325440499,1529.6523424624431,1519.7297752484737,1511.628311151945,1532.3241999860743,1520.8553461898587,1467.9165380287275,1500.3341754439643,1444.4142283063302,1495.45385704429,1484.1396744817023,1437.2000270279584,1489.4572060008286,1497.313726017911,1491.170376796216,1519.4915309023552,1501.6019542210506,1511.4251056719665,1446.8935144853208,1526.6668876993997,1499.4584009063487,1565.240665019662,1482.9904734624633,1474.5797399595433,1546.0854106005083,1425.3028482748712,1541.7910658721992,1503.8312954285793,1500.3025565122382
2005-06-03,1531.744410957081,1502.693054404429,1521.8870289996783,1512.8538634836507,1518.504222916768,1532.3241999860743,1528.818980224704,1467.9165380287275,1494.5331249878134,1454.884546564208,1503.8162179755946,1484.1396744817023,1446.518508695051,1496.210067133159,1504.058384052808,1484.4175156638855,1525.2925813585061,1492.283472553958,1517.9240838115875,1455.9361181029617,1531.3099169306415,1492.7137428714518,1557.2770309848165,1482.9904734624633,1469.9367107283015,1535.6150923426305,1425.3028482748712,1533.4287049408947,1494.7886918109384,1508.067869975003
2005-06-04,1524.7273490228038,1502.693054404429,1514.0889203052443,1505.9138534004476,1525.5212848510453,1537.4077345638218,1523.44533068772,1460.6187646592957,1489.4495904100659,1462.1823199336397,1510.7562280587977,1479.3563674571005,1456.5550961466497,1489.1091018215498,1497.5804021219772,1491.5184809754949,1530.586478056875,1486.9895758555892,1517.9240838115875,1450.6387569791193,1531.3099169306415,1500.5118515658858,1562.6506805218007,1474.1228175585861,1469.9367107283015,1540.3983993672323,1434.1705041787484,1523.392117489296,1500.0860529347808,1514.5458519058338
2005-06-05,1531.2230257394947,1497.2554615126694,1520.2151368881846,1512.637408882378,1519.0256081343543,1542.101248327533,1531.2499388397437,1453.943938118532,1484.7560766463546,1468.8571464744034,1504.0326725768673,1474.9103301983412,1452.2566891493582,1495.9176601119377,1491.6264375671528,1484.709922685107,1522.5259483714922,1495.050105540972,1522.7087404073498,1459.3619428002355,1536.747509822401,1494.3856349829455,1554.846072369777,1479.3309121946322,1465.1520541325392,1544.8444366259916,1428.9624095427023,1527.6905244865875,1491.3628671136646,1520.4998164606582
2005-06-06,1524.2744476361988,1492.2173188379265,1512.5511094255507,1518.8823972009436,1525.9741862376502,1533.6572525820372,1538.5426679620466,1447.7693861320417,1493.2000723918504,1475.0316984608937,1497.7876842583016,1484.1405886254959,1448.2318702185314,1502.1344284374768,1486.1328146491817,1478.4931543595678,1528.0097070788304,1489.5663468336338,1514.0843681711863,1467.3881963309286,1541.785652497144,1502.0496624455793,1547.553343247474,1484.1496896059202,1473.7764263687027,1535.614178198837,1424.1436321314143,1531.7153434174143,1483.3366135829715,1525.9934393786293
2005-06-07,1530.40383294269,1500.4892660225419,1506.4217241190595,1524.8908792217899,1519.8231318280225,1538.2133870047512,1530.0855358689525,1447.7693861320417,1493.2000723918504,1470.4755640381798,1491.3164173641605,1484.1405886254959,1448.2318702185314,1508.6056953316179,1486.1328146491817,1485.6366138593262,1528.0097070788304,1482.4228873338755,1514.0843681711863,1467.3881963309286,1533.5137053125286,1496.041180424733,1547.553343247474,1484.1496896059202,1473.7764263687027,1541.7652326084647,1424.1436321314143,1531.7153434174143,1491.7937456760656,1525.9934393786293
2005-06-08,1522.9440748228592,1494.9438865369289,1513.8814822388904,1517.137682224408,1514.1574915676458,1542.4499790133953,1522.2170842200549,1453.6816753682003,1501.5957710059895,1466.2389720295357,1498.55223892514,1478.6902380216768,1455.99198549815,1501.3698737706384,1479.3816422588634,1492.1511403492857,1533.5550865644434,1475.908360843916,1519.5347187750053,1462.9656182896574,1539.929519727374,1503.7943774221148,1539.157644633335,1490.9008619962385,1466.0163110890842,1547.4308728688413,1418.2313428952557,1525.2995290025688,1499.6621973249632,1530.4160174199005
2005-06-09,1529.1256989615192,1489.7796157023458,1507.6998581002304,1510.006515535606,1521.7982329631466,1546.4197931847855,1527.8769181708467,1459.120007115744,1509.4531848850065,1462.2691578581455,1492.0451854461023,1486.7508331716958,1463.1916379801785,1507.876927249676,1486.5308045591967,1484.9262875234103,1538.7193573990264,1483.1332136697913,1511.4741236249863,1458.8522908435034,1545.877724055743,1510.925544110917,1531.300230754318,1483.7516996959052,1458.8166586070556,1539.7901314733406,1412.793011147712,1519.3513246741998,1494.0023633741714,1534.5293448660545
2005-06-10,1529.1256989615192,1498.2746724395186,1507.6998581002304,1510.006515535606,1521.7982329631466,1546.4197931847855,1527.8769181708467,1464.1568397386757,1503.750929711859,1462.2691578581455,1492.0451854461023,1494.272315968868,1456.1713860602558,1507.876927249676,1479.7304330685902,1484.9262875234103,1530.2243006618537,1483.1332136697913,1503.952640827814,1455.007577150139,1551.3504395148534,1510.925544110917,1537.0024859274654,1490.5520711865117,1465.8369105269783,1539.7901314733406,1407.7561785247804,1513.8786092150895,1494.0023633741714,1538.374058559419
2005-06-11,1534.7841579837623,1503.2969641416948,1499.2162171971804,1515.0384012880672,1515.5496123166843,1552.5556422792497,1534.125538817309,1459.1249539862145,1509.0963149911106,1470.1874541679906,1484.1268891362572,1500.900905093257,1451.1490943580795,1515.2544790268992,1487.7270509896252,1480.851248145538,1522.8467488846306,1478.6892173811082,1498.294181805571,1463.491218053189,1555.4254788927258,1514.0061962789866,1530.8666368330012,1485.7972854923853,1460.4915252477267,1544.2341277620237,1404.6755263567106,1505.8819912940544,1487.3737742497824,1543.1288442535454
